Year,Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,college_id,branch_id
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8798,10904,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,59,59,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,601,738,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1941,1941,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1423,2026,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3327,3729,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,914,1239,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1773,1915,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,384,538,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),910,910,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10756,11307,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
